Ticker,Date,ARIMA_forecast,LSTM_residual_forecast,Combined_forecast
AAPL,2025-05-01,211.4521373921977,0.52549964,211.977637034093
AAPL,2025-05-02,209.7326599065066,0.51101536,210.2436752620936
AAPL,2025-05-03,211.48963508085495,0.5064016,211.99603667930847
AAPL,2025-05-04,209.8518009597687,0.50196004,210.3537609989075
AAPL,2025-05-05,211.24184825110345,0.53691775,211.7787659971705
ADBE,2025-05-01,373.34095131913006,1.3734094,374.7143607095796
ADBE,2025-05-02,370.88630521767635,1.3808618,372.26716697686214
ADBE,2025-05-03,371.3337784984933,1.3656803,372.6994588354455
ADBE,2025-05-04,373.82669264630727,1.322121,375.14881367043904
ADBE,2025-05-05,371.70212342202905,1.2955168,372.9976402705932
AEO,2025-05-01,10.783490288985725,0.09881267,10.882302958501334
AEO,2025-05-02,10.723748588473407,0.10479874,10.828547330112068
AEO,2025-05-03,10.81769292999782,0.10786468,10.925557607903857
AEO,2025-05-04,10.884158491671133,0.11055333,10.994711823344279
AEO,2025-05-05,10.78989246997053,0.11671611,10.906608579186743
AMD,2025-05-01,95.75117527659191,0.32866615,96.07984142716182
AMD,2025-05-02,95.74507971747363,0.31930685,96.06438656790698
AMD,2025-05-03,96.147779024581,0.3056455,96.45342452023415
AMD,2025-05-04,96.12680787873728,0.2919802,96.41878808570368
AMD,2025-05-05,95.74447357963471,0.2877533,96.03222689341455
AMZN,2025-05-01,187.48759042884203,1.320556,188.80814647342058
AMZN,2025-05-02,187.4552604914231,1.3269079,188.7821683645768
AMZN,2025-05-03,187.49540517192185,1.324102,188.81950721602738
AMZN,2025-05-04,187.4708166161615,1.3198391,188.7906557360727
AMZN,2025-05-05,187.47980697202485,1.323358,188.8031650309543
AXP,2025-05-01,266.0663447893887,-0.29450548,265.7718393124371
AXP,2025-05-02,265.29169943048095,-0.41444147,264.87725796414946
AXP,2025-05-03,265.70738779924875,-0.45171836,265.2556694390631
AXP,2025-05-04,265.08389976244183,-0.46231374,264.6215860209963
AXP,2025-05-05,264.5652455805303,-0.443901,264.1213445781232
CL,2025-05-01,91.73060544195617,-0.13370425,91.59690119686569
CL,2025-05-02,91.72694393306584,-0.14163402,91.58530991583676
CL,2025-05-03,92.13718291207852,-0.14766197,91.98952094301285
CL,2025-05-04,92.04887055993264,-0.15184875,91.89702181160634
CL,2025-05-05,91.97638719860878,-0.1528366,91.82355059270229
COST,2025-05-01,986.8692417094529,0.63147765,987.5007193634332
COST,2025-05-02,988.8586213357362,0.08213532,988.940756655446
COST,2025-05-03,989.7077783626451,-0.1314911,989.5762872678174
COST,2025-05-04,986.9784917582143,-0.24033219,986.7381595719922
COST,2025-05-05,987.6498723662659,-0.29829836,987.3515740073486
CSCO,2025-05-01,57.01569649844907,-0.039933942,56.97576255619071
CSCO,2025-05-02,56.984509171866264,-0.039271332,56.94523783954271
CSCO,2025-05-03,57.133082908382214,-0.041139383,57.09194352551321
CSCO,2025-05-04,57.09231573886424,-0.04461044,57.04770529813319
CSCO,2025-05-05,57.055205161478945,-0.047549713,57.00765544807596
DIS,2025-05-01,90.38026394495994,1.5249486,91.90521254191428
DIS,2025-05-02,91.11295794245326,1.5488385,92.66179643866145
DIS,2025-05-03,90.95256418066704,1.578012,92.53057617026055
DIS,2025-05-04,90.48083992383198,1.6067694,92.08760936639027
DIS,2025-05-05,90.46257352574729,1.640951,92.10352456315421
