Ticker,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05
AAPL,213.32,205.35,#N/A,#N/A,198.89
ADBE,374.63,380.87,#N/A,#N/A,381.06
AEO,10.69,11.1,#N/A,#N/A,11.11
AMD,96.65,98.8,#N/A,#N/A,100.59
AMZN,190.2,189.98,#N/A,#N/A,186.35
AXP,268.54,276.85,#N/A,#N/A,278.03
CL,90.69,90.48,#N/A,#N/A,90.74
COST,999.04,1008.3,#N/A,#N/A,1014.89
       CSCO,58.12,59.33,#N/A,#N/A,59.32
         DIS,90.81,92.49,#N/A,#N/A,92.11
